route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17,Saturday,3969,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4003,99th Street TC,0,182,215,0,0
17,Saturday,3971,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4005,99th Street TC,0,182,215,0,0
17,Saturday,3973,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4007,99th Street TC,0,182,215,0,0
17,Saturday,3975,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4009,99th Street TC,0,182,215,0,0
17,Saturday,3977,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4011,99th Street TC,0,182,215,0,0
17,Saturday,3979,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4013,99th Street TC,0,182,215,0,0
17,Saturday,3981,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4027,99th Street TC,0,182,215,0,0
17,Saturday,3983,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4029,99th Street TC,0,182,215,0,0
17,Saturday,3985,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4031,99th Street TC,0,182,215,0,0
17,Saturday,3987,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4033,99th Street TC,0,182,215,0,0
17,Saturday,3989,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4015,99th Street TC,0,182,215,0,0
17,Saturday,3991,Broadway & Evergreen Blv,1,182,216,0,0
17,Saturday,4017,99th Street TC,0,182,215,0,0
